Model,Price,Brand,Mileage,Year,Fuel
N Wgn   G Turbo,2650000,Honda,94956,2014,Petrol
Dayz   Highway star X,360000,Nissan,16892,2020,Petrol
Wagon R   VXL,24250000,Suzuki,121297,2019,Petrol
Swift   GLX CVT,48650000,Suzuki,6600,2023,Petrol
City   i-DSI,17850000,Honda,185625,2006,Petrol
Wagon R   VXR,1680000,Suzuki,126237,2016,Petrol
Cultus   EURO II,1250000,Suzuki,20666,2014,Petrol
Alto   VXR,240000,Suzuki,6399,2022,Petrol
Corolla   GLi Automatic 1.3 VVTi,450000,Toyota,69000,2018,Petrol
Tiggo 8 Pro   1.6 DEX Plus,980000,Chery,2795,2023,Petrol
Move   L,3250000,Daihatsu,48200,2019,Petrol
Alto   L,340000,Suzuki,4008,2020,Petrol
Cuore   CX,650000,Daihatsu,72000,2003,Petrol
Hijet,2450000,Daihatsu,212390,2018,Petrol
Corolla   GLi Automatic 1.3 VVTi,380000,Toyota,44429,2017,Petrol
Aqua   S,4250000,Toyota,111319,2015,Hybrid
Vitz   F 1.0,1890000,Toyota,152454,2006,Petrol
Clipper   DX,110000,Nissan,256142,2013,Petrol
Alsvin   1.5L DCT Lumiere,390000,Changan,7198,2021,Petrol
Cayenne   S E-Hybrid,3500000,Porsche,46538,2016,Hybrid
Cultus   Auto Gear Shift,290000,Suzuki,44765,2018,Petrol
Cultus   EURO II,1750000,Suzuki,57977,2015,Petrol
Alto   L,300000,Suzuki,52462,2018,Petrol
Clipper   DX,2150000,Nissan,85510,2016,Petrol
Cultus   Limited Edition,1620000,Suzuki,81066,2017,Petrol
Tank,3650000,Toyota,23614,2019,Petrol
Corolla Axio   G,400000,Toyota,88363,2013,Petrol
Alsvin   1.5L DCT Lumiere,400000,Changan,14077,2021,Petrol
Alto   VXL AGS,29750000,Suzuki,11405,2022,Petrol
Civic   Oriel 1.8 i-VTEC CVT,820000,Honda,1067,2021,Petrol
City 5th Generation  1.3 i-VTEC,3450000,Honda,88283,2018,Petrol
Swift   DLX 1.3,170000,Suzuki,91529,2013,Petrol
Civic   Oriel 1.8 i-VTEC CVT,630000,Honda,17281,2020,Petrol
Move   X,310000,Daihatsu,34354,2016,Petrol
Corolla   Altis X Automatic 1.6,5850000,Toyota,13400,2021,Petrol
Alto   VXL AGS,280000,Suzuki,29624,2021,Petrol
Civic 11th Generation  RS,940000,Honda,22188,2022,Petrol
Mehran   VXR Euro II,1340000,Suzuki,69276,2017,Petrol
Mehran   VXR Euro II,130000,Suzuki,46424,2018,Petrol
Vitz   F 1.0,2750000,Toyota,99037,2014,Petrol
ZS   1.5L,5750000,MG,22189,2022,Petrol
BR-V   i-VTEC S,430000,Honda,94817,2019,Petrol
Cultus   Auto Gear Shift,330000,Suzuki,82552,2019,Petrol
Alto   VXL AGS,2790000,Suzuki,9245,2021,Petrol
Mehran   VXR Euro II,1040000,Suzuki,66543,2015,Petrol
Alto   VXR,950000,Suzuki,200000,2010,Petrol
Wagon R   VXR,28410000,Suzuki,3666,2022,Petrol
Santro   Club,80000,Hyundai,192000,2004,Petrol
Alto   VXR,2320000,Suzuki,27167,2021,Petrol
Mehran   VXR Euro II,80000,Suzuki,88450,2014,Petrol
Yaris   ATIV CVT 1.3,480000,Toyota,1799,2022,Petrol
Alto   VXL AGS,2630000,Suzuki,31034,2019,Petrol
Grand Carnival   GLS+,15500000,KIA,12255,2022,Petrol
Alto   VX,23750000,Suzuki,9500,2022,Petrol
HR-V   VTi-S,7650000,Honda,2266,2022,Petrol
Alto   VXL AGS,2850000,Suzuki,14873,2022,Petrol
Mira   G SA,240000,Daihatsu,79082,2013,Petrol
City 5th Generation  Aspire Prosmatec 1.5 i-VTEC,300000,Honda,104474,2014,Petrol
Corolla   Altis Automatic 1.6,410000,Toyota,97071,2017,Petrol
Corolla   GLi Automatic 1.3 VVTi,4250000,Toyota,56000,2018,Petrol
Alto   VXL AGS,27150000,Suzuki,26519,2021,Petrol
5 Series 5th (E60) Generation  530d,310000,BMW,160000,2004,Diesel
Hijet   Cruise,200000,Daihatsu,149104,2015,Petrol
Hilux   Revo V Automatic 2.8,11900000,Toyota,50000,2021,Diesel
Corolla   GLi Automatic 1.3 VVTi,400000,Toyota,76692,2017,Petrol
Picanto   1.0 AT,2850000,KIA,25100,2021,Petrol
City 5th Generation  Aspire Prosmatec 1.5 i-VTEC,320000,Honda,40452,2017,Petrol
Yaris   ATIV X CVT 1.5,4250000,Toyota,37769,2021,Petrol
Corolla   Altis X Automatic 1.6,610000,Toyota,12534,2022,Petrol
Swift   DLX 1.3 Navigation,270000,Suzuki,59299,2019,Petrol
Corolla   Altis Grande CVT-i 1.8,380000,Toyota,93233,2016,Petrol
Allure,720000,Peugeot,5536,2008,Petrol
Corolla   GLi Automatic 1.3 VVTi,380000,Toyota,117000,2017,Petrol
Mira   L SA,1840000,Daihatsu,81924,2013,Petrol
Hilux   Revo V Automatic 3.0,810000,Toyota,97432,2017,Diesel
Vezel   Hybrid Z,480000,Honda,56789,2015,Hybrid
Karvaan   Plus,2550000,Changan,21806,2021,Petrol
Civic   Oriel 1.8 i-VTEC CVT,500000,Honda,64251,2017,Petrol
Alto,1990000,Suzuki,140000,2012,Petrol
Corolla   XLi VVTi,2150000,Toyota,175000,2012,Petrol
Mehran   VX,750000,Suzuki,63000,1999,Petrol
Mehran   VXR,7450000,Suzuki,112500,2009,Petrol
Civic   VTi Oriel Prosmatec 1.6,1650000,Honda,115380,2006,Petrol
HR-V   VTi-S,800000,Honda,12000,2023,Petrol
Mira   X,140000,Daihatsu,87000,2006,Petrol
Hilux   Revo V Automatic 2.8,10200000,Toyota,73000,2018,Diesel
City   1.5 i-VTEC Prosmatec,3790000,Honda,70000,2018,Petrol
N One   G,3650000,Honda,16868,2019,Petrol
Cast   Style X,34450000,Daihatsu,20500,2019,Petrol
Grace Hybrid 6th Generation  EX,420000,Honda,159956,2015,Petrol
Prado   TX Limited 2.7,720000,Toyota,118000,2007,Petrol
Civic Rebirth  VTi Oriel Prosmatec 1.8 i-VTEC,3850000,Honda,125504,2013,Petrol
Tanto   X,2250000,Daihatsu,60327,2013,Petrol
Cultus   Auto Gear Shift,30750000,Suzuki,52000,2019,Petrol
Civic Rebirth  VTi Oriel Prosmatec 1.8 i-VTEC,3550000,Honda,73287,2014,Petrol
Passo   X L Package S,420000,Toyota,110000,2018,Petrol
Civic   Oriel 1.8 i-VTEC CVT,630000,Honda,44331,2020,Petrol
Wagon R   VXR,2650000,Suzuki,20445,2021,Petrol
Wagon R,15750000,Suzuki,184178,2007,Petrol
Yaris Hatchback,5250000,Toyota,27450,2020,Petrol
Swift   GLX CVT,500000,Suzuki,20808,2022,Petrol
Yaris   ATIV CVT 1.3,420000,Toyota,24639,2021,Petrol
Cultus   VXL,360000,Suzuki,21209,2021,Petrol
Civic   Oriel 1.8 i-VTEC CVT,61250000,Honda,36873,2018,Petrol
Yaris   GLI MT 1.3,4150000,Toyota,4925,2022,Petrol
Cultus   VXR,290000,Suzuki,29338,2021,Petrol
Corolla   Altis SR Cruisetronic 1.8,2490000,Toyota,140588,2011,Petrol
Cultus   VXR,3150000,Suzuki,22702,2020,Petrol
Mehran   VXR,60000,Suzuki,54262,2006,Petrol
Corolla   Altis Grande 1.8,540000,Toyota,64059,2018,Petrol
Cultus   EURO II,140000,Suzuki,29068,2013,Petrol
Wagon R   VXL,21850000,Suzuki,74897,2019,Petrol
Accord   EX,60000,Honda,60000,1988,Petrol
Sorento   3.5 FWD,10800000,KIA,3080,2022,Petrol
HS   Trophy,7940000,MG,13264,2022,Petrol
Cultus   VXR,250000,Suzuki,29808,2018,Petrol
Hijet   Cruise,2150000,Daihatsu,144730,2016,Petrol
Alto   VXR,25150000,Suzuki,21000,2022,Petrol
Dayz   Highway star G,250000,Nissan,55498,2015,Petrol
C-HR   G-LED,750000,Toyota,83531,2017,Hybrid
